City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Nata,PA,8.3333,-80.5167,75.47,92,90,9.35,overcast clouds
104,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,6.91,few clouds
105,Steamboat Springs,US,40.485,-106.8317,45.27,55,1,5.75,clear sky
106,Ponta Do Sol,PT,32.6667,-17.1,63.23,78,89,6.82,overcast clouds
107,Port-Gentil,GA,-0.7193,8.7815,79.72,84,97,6.33,moderate rain
108,Taiyuan,CN,37.8694,112.5603,15.66,73,0,2.24,clear sky
109,Hithadhoo,MV,-0.6,73.0833,81.55,74,34,7.25,scattered clouds
110,Miles City,US,46.4083,-105.8406,52.77,37,90,12.66,overcast clouds
111,Kyzyl,RU,51.7,94.45,-5.62,98,89,0.74,overcast clouds
112,Ibra,OM,22.6906,58.5334,70.43,55,99,2.91,overcast clouds
113,Udachnyy,RU,66.4167,112.4,-19.21,97,100,4.56,overcast clouds
114,Xining,CN,36.6167,101.7667,17.28,56,0,2.26,clear sky
115,Tasiilaq,GL,65.6145,-37.6368,9.59,86,21,5.08,few clouds
116,Torbay,CA,47.6666,-52.7314,44.58,85,100,8.01,overcast clouds
117,Mogok,MM,22.9167,96.5,55.4,81,97,2.42,overcast clouds
118,Urusha,RU,54.05,122.9,-10.17,99,22,0.78,few clouds
119,Byron Bay,AU,-28.65,153.6167,78.06,93,100,1.74,moderate rain
120,Dingle,PH,10.9995,122.6711,78.49,84,100,3.8,overcast clouds
121,Novovasylivka,UA,46.8315,35.7536,36.73,83,100,11.7,overcast clouds
122,Boende,CD,-0.2167,20.8667,68.49,99,94,2.28,overcast clouds
123,Sibolga,ID,1.7427,98.7792,75.16,88,81,2.3,broken clouds
124,Busselton,AU,-33.65,115.3333,60.04,66,85,2.64,overcast clouds
125,Sao Filipe,CV,14.8961,-24.4956,74.19,69,100,10.16,overcast clouds
126,Darbhanga,IN,26.1667,85.9,62.47,58,70,4.23,broken clouds
127,Camalu,MX,30.85,-116.0667,65.43,64,0,6.13,clear sky
128,Arraial Do Cabo,BR,-22.9661,-42.0278,74.52,91,100,9.26,overcast clouds
129,Lerwick,GB,60.1545,-1.1494,37.4,85,100,15.32,overcast clouds
130,Caravelas,BR,-17.7125,-39.2481,76.57,92,68,11.05,broken clouds
131,Provideniya,RU,64.3833,-173.3,-3.64,65,0,4.47,clear sky
132,Price,US,39.5994,-110.8107,49.26,29,1,3.44,clear sky
133,Constitucion,CL,-35.3333,-72.4167,54.1,92,12,7.31,few clouds
134,Sisimiut,GL,66.9395,-53.6735,28.42,87,98,7.63,overcast clouds
135,Ganzhou,CN,28.8184,115.4327,43.16,49,0,4.34,clear sky
136,Saint-Pierre,RE,-21.3393,55.4781,76.68,77,75,11.5,broken clouds
137,Sindor,RU,62.8629,51.8905,22.15,95,100,8.55,snow
138,Kaitangata,NZ,-46.2817,169.8464,57.92,75,100,13.58,overcast clouds
139,Jumla,NP,29.2747,82.1838,45.48,19,100,4.45,overcast clouds
140,Cutervo,PE,-6.379,-78.8157,52.79,92,99,3.65,light rain
141,Khilchipur,IN,24.0333,76.5667,63.01,35,100,5.93,overcast clouds
142,Mayo,US,38.8876,-76.5119,44.24,67,1,0.0,clear sky
143,Yatou,CN,37.15,122.3833,39.11,50,85,18.95,overcast clouds
144,Leningradskiy,RU,69.3833,178.4167,-21.6,95,67,10.29,broken clouds
145,Pisco,PE,-13.7,-76.2167,66.25,77,0,17.27,clear sky
146,Kudahuvadhoo,MV,2.6708,72.8944,82.18,74,4,10.29,clear sky
147,Mareeba,AU,-17.0,145.4333,86.49,72,75,3.6,broken clouds
148,Kirensk,RU,57.7853,108.1119,23.99,95,100,10.49,light snow
149,Atasu,KZ,48.6814,71.6433,10.8,88,7,4.79,clear sky
150,Asfi,MA,32.2994,-9.2372,58.91,76,84,13.15,broken clouds
151,Vardo,NO,70.3705,31.1107,33.28,55,100,27.98,overcast clouds
152,Hvide Sande,DK,56.0045,8.1294,34.09,71,99,11.12,overcast clouds
153,Souillac,MU,-20.5167,57.5167,73.36,79,23,9.13,light rain
154,Esmeralda,CU,21.8525,-78.1169,72.64,76,14,7.63,few clouds
155,Guisa,CU,20.255,-76.5386,71.91,91,29,4.65,scattered clouds
156,Atlantic City,US,39.3643,-74.4229,45.99,62,90,6.91,overcast clouds
157,Cidreira,BR,-30.1811,-50.2056,70.03,75,0,13.67,clear sky
158,Flinders,AU,-34.5833,150.8552,74.17,84,98,1.99,light rain
159,Portland,US,45.5234,-122.6762,59.41,84,90,3.0,overcast clouds
160,Talaya,RU,61.3833,152.75,-38.51,100,80,2.33,broken clouds
161,Namibe,AO,-15.1961,12.1522,69.39,81,83,4.97,broken clouds
162,Alpinopolis,BR,-20.8636,-46.3881,66.47,95,64,0.72,broken clouds
163,Birjand,IR,32.8663,59.2211,49.08,51,0,3.51,clear sky
164,Belaya Gora,RU,68.5333,146.4167,-15.81,99,100,3.74,overcast clouds
165,Saint-Augustin,CA,51.226,-58.6502,27.46,95,100,15.12,snow
166,Hervey Bay,AU,-25.2986,152.8535,77.11,78,92,4.0,overcast clouds
167,Eregli,TR,37.5133,34.0467,45.82,70,24,11.72,few clouds
168,Nishihara,JP,26.1842,127.7558,64.45,55,75,18.41,broken clouds
169,Beloha,MG,-25.1667,45.05,70.39,97,66,4.38,broken clouds
170,Yellowknife,CA,62.456,-114.3525,-17.59,95,44,7.52,scattered clouds
171,Nikolskoye,RU,59.7035,30.7861,22.91,94,100,7.96,overcast clouds
172,Herend,HU,47.1333,17.75,40.51,82,99,8.14,overcast clouds
173,Veraval,IN,20.9,70.3667,72.07,86,100,12.21,overcast clouds
174,Da Lat,VN,11.9465,108.4419,56.26,95,100,6.22,moderate rain
175,Bogotol,RU,56.2078,89.5342,17.08,80,99,14.18,overcast clouds
176,Hirara,JP,24.8,125.2833,67.1,61,53,34.05,broken clouds
177,Yar-Sale,RU,66.8333,70.8333,-6.97,99,84,5.32,broken clouds
178,Somerset East,ZA,-32.7217,25.588,56.61,90,100,10.04,overcast clouds
179,Felanitx,ES,39.4696,3.1483,53.13,77,23,7.27,few clouds
180,Samarai,PG,-10.6167,150.6667,85.48,74,99,11.83,overcast clouds
181,Atikokan,CA,48.7555,-91.6216,18.16,89,71,2.57,broken clouds
182,Tongzi,CN,28.7829,105.0877,46.58,82,82,1.72,broken clouds
