City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Caravelas,BR,76.57,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
136,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
146,Kudahuvadhoo,MV,82.18,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
147,Mareeba,AU,86.49,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
158,Flinders,AU,74.17,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
166,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
180,Samarai,PG,85.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
187,Sinnamary,GF,79.0,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
189,Vila Velha,BR,80.55,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
192,Hambantota,LK,76.12,few clouds,6.1241,81.1185,Bungalow 63
195,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
200,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
201,Butaritari,KI,82.04,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
208,Banda Aceh,ID,77.94,broken clouds,5.5577,95.3222,Sulthan Hotel International
211,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
212,Palimbang,PH,81.37,overcast clouds,6.2106,124.1894,Felmar Beach resort
213,Alyangula,AU,88.25,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
221,Ca Mau,VN,75.79,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
225,Kulhudhuffushi,MV,81.75,broken clouds,6.6221,73.07,Haajy Guest House 1
227,Lahaina,US,87.8,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
234,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
235,Alugan,PH,81.66,overcast clouds,12.2188,125.4808,JM Lodge
240,Kencong,ID,77.27,light rain,-8.2833,113.3667,GUBUK SUGIANTO
245,Pitimbu,BR,79.92,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
250,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
253,Kahului,US,87.82,light rain,20.8947,-156.47,Maui Seaside Hotel
263,Valledupar,CO,75.94,scattered clouds,10.4631,-73.2532,Hotel Arawak Upar
271,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
284,Labuan,MY,78.96,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
290,Natal,BR,79.16,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
292,Gombong,ID,84.83,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
293,Bondoukou,CI,77.25,overcast clouds,8.0333,-2.8,Prestige Hotel
294,Vaitape,PF,81.1,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
295,Qui Nhon,VN,74.57,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
296,Tamandare,BR,79.47,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
299,Bull Savanna,JM,75.81,overcast clouds,17.8868,-77.5902,Big Red's
303,Thio,NC,89.56,clear sky,-21.6167,166.2167,La Ferme de Thio
304,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
305,Balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,ibis Balikpapan
308,Broken Hill,AU,84.42,clear sky,-31.95,141.4333,Royal Exchange Hotel
310,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
311,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
315,Bambanglipuro,ID,80.06,overcast clouds,-7.95,110.2833,Puri Brata
323,Luganville,VU,85.93,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
324,Kavieng,PG,84.94,broken clouds,-2.5744,150.7967,Nusa Island Retreat
326,Maunabo,PR,81.43,broken clouds,18.0072,-65.8993,Maunacaribe
330,Innisfail,AU,86.09,scattered clouds,-17.5333,146.0333,Moondarra Motel
331,Aden,YE,78.78,clear sky,12.7794,45.0367,Sama Emirate Hotel
338,Faanui,PF,81.07,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
348,Lorengau,PG,85.15,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
351,Vao,NC,76.75,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
354,Dhidhdhoo,MV,81.7,broken clouds,6.8833,73.1,Dhidhoo beach
355,Bubaque,GW,81.81,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
357,Bac Lieu,VN,78.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
366,Porto Novo,BJ,79.88,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
369,Ghanzi,BW,77.07,few clouds,-21.5667,21.7833,Ghanzi Farmhouse
377,Moindou,NC,89.55,clear sky,-21.6924,165.677,Gite de la RYAWA
378,Ende,ID,81.39,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
391,Iquitos,PE,82.44,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
392,Sorong,ID,81.32,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
395,Anloga,GH,82.06,broken clouds,5.7947,0.8973,Pin Drop Hotel
397,Palauig,PH,82.11,overcast clouds,15.435,119.9045,Alperi Botique Resort
402,Miracema Do Tocantins,BR,74.88,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
404,Manggar,ID,79.93,broken clouds,-2.8833,108.2667,Guest Hotel
406,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
421,Mahibadhoo,MV,81.79,few clouds,3.7833,72.9667,Omadhoo Inn
423,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
424,Cairns,AU,91.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
425,Alepe,CI,78.67,light rain,5.5004,-3.6631,BENENE 1
428,Srivardhan,IN,76.19,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
429,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
436,Kavaratti,IN,81.54,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
438,Les Cayes,HT,76.26,broken clouds,18.2,-73.75,Villa Orphee
441,Carutapera,BR,79.57,broken clouds,-1.195,-46.02,Lidera
442,Mlonggo,ID,74.52,overcast clouds,-6.5333,110.7,Asia Metal Art
443,Barroquinha,BR,79.43,broken clouds,-3.0189,-41.1361,Pousada Fontenele
444,Ciudad Bolivar,VE,81.28,overcast clouds,8.1222,-63.5497,Hotel Edi
445,Macapa,BR,84.18,broken clouds,0.0389,-51.0664,Atalanta Hotel
448,Matamoros,MX,75.31,broken clouds,25.5333,-103.25,Quinta Belem
449,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
451,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
457,San Juan De Uraba,CO,74.89,broken clouds,8.7592,-76.5297,Hotel Cerro De Zumba
460,Lakes Entrance,AU,84.58,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
462,Singaraja,ID,77.97,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
464,Yulara,AU,91.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
466,Black River,JM,78.8,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
472,Maceio,BR,79.57,broken clouds,-9.6658,-35.7353,Poutur Pousada
473,Aracati,BR,80.82,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
474,Soyo,AO,77.72,overcast clouds,-6.1349,12.3689,Hotel Mpampa
476,Pizarro,CO,75.2,overcast clouds,4.9533,-77.366,Hotel Limonar
489,Batemans Bay,AU,85.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
498,Poum,NC,81.93,few clouds,-20.2333,164.0167,Gîte kajeon
499,Axim,GH,79.27,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
504,Paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
506,Rancho Palos Verdes,US,86.38,haze,33.7445,-118.387,Terranea Resort
508,Meulaboh,ID,75.49,light rain,4.1363,96.1285,Kost Pria
512,Inirida,CO,74.66,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
517,Bandarbeyla,SO,75.34,scattered clouds,9.4942,50.8122,JABIR HOTEL
526,Raglan,NZ,78.1,broken clouds,-37.8,174.8833,Raglan Sunset Motel
529,Barra Do Garcas,BR,77.58,light rain,-15.89,-52.2567,Hotel Pousada Tropical
533,Coruripe,BR,79.48,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
535,Cabo Rojo,PR,79.97,broken clouds,18.0866,-67.1457,Hotel Perichi's
